lenderNames,productNames,loanAmtLenderMax2,minLenderCreditScore2,state,veteran,foreclosure,capacity
Lender 371,Purchase,280000,600,Hawaii,Yes,No,25
Lender 215,ReFi,300000,620,Vermont,No,Yes,27
Lender 105,ReFi,370000,650,Washington,Yes,Yes,2
Lender 154,ReFi,280000,660,Colorado,No,No,37
Lender 376,ReFi,330000,760,Minnesota,No,No,32
Lender 300,Purchase,280000,670,Texas,Yes,Yes,48
Lender 120,Home Equity,340000,650,Indiana,No,No,19
Lender 394,Home Equity,300000,630,Minnesota,Yes,Yes,27
Lender 25,Purchase,290000,630,Texas,No,No,12
Lender 184,Auto,320000,750,North Dakota,No,Yes,44
Lender 2,Home Equity,330000,720,Oklahoma,No,No,45
Lender 206,Auto,340000,670,Kentucky,Yes,Yes,20
Lender 127,Auto,310000,700,North Dakota,Yes,Yes,29
Lender 395,Auto,290000,710,Nebraska,No,Yes,8
Lender 295,Auto,280000,680,Hawaii,Yes,No,12
Lender 103,Home Equity,310000,700,New York,Yes,Yes,2
Lender 325,Home Equity,280000,610,Idaho,No,No,38
Lender 80,Home Equity,280000,780,Michigan,Yes,Yes,11
Lender 24,Purchase,330000,620,Mississippi,Yes,Yes,44
Lender 89,Home Equity,300000,620,Michigan,Yes,No,38
Lender 198,Home Equity,290000,670,Tennessee,No,No,49
Lender 227,Home Equity,280000,690,Louisiana,Yes,Yes,14
Lender 296,Auto,310000,600,Colorado,No,No,10
Lender 361,Auto,340000,730,New Mexico,Yes,No,9
Lender 29,ReFi,280000,660,North Carolina,No,Yes,5
Lender 133,Home Equity,260000,650,New York,Yes,Yes,27
Lender 154,Home Equity,290000,650,New York,No,Yes,14
Lender 285,Auto,330000,660,Rhode Island,No,No,27
Lender 380,Auto,300000,610,Wisconsin,No,Yes,25
Lender 329,Purchase,290000,680,Iowa,No,No,36
Lender 103,Home Equity,340000,730,Montana,No,No,29
Lender 81,Auto,300000,620,South Carolina,Yes,Yes,41
Lender 202,Home Equity,310000,590,New York,Yes,Yes,6
Lender 44,Home Equity,300000,700,Idaho,No,No,30
Lender 121,ReFi,300000,550,Tennessee,Yes,No,50
Lender 218,ReFi,320000,620,Minnesota,No,Yes,7
Lender 129,Auto,270000,740,Washington,Yes,No,1
Lender 105,Purchase,280000,700,West Virginia,Yes,Yes,27
Lender 314,Auto,310000,770,Florida,No,Yes,34
Lender 175,Home Equity,310000,770,Wyoming,Yes,Yes,36
Lender 299,ReFi,330000,650,North Dakota,Yes,Yes,24
Lender 252,Purchase,250000,680,Delaware,Yes,No,11
Lender 76,Home Equity,340000,690,North Dakota,Yes,No,4
Lender 73,Auto,310000,650,Georgia,No,No,12
Lender 256,ReFi,270000,640,Maryland,Yes,Yes,31
Lender 3,ReFi,300000,690,New Hampshire,No,Yes,12
Lender 184,Home Equity,270000,580,Kentucky,No,No,9
Lender 284,ReFi,310000,660,Oklahoma,Yes,Yes,18
Lender 206,ReFi,230000,650,Colorado,No,Yes,0
Lender 33,Home Equity,350000,630,Hawaii,No,No,22
Lender 101,Purchase,270000,640,Colorado,Yes,Yes,15
Lender 78,Auto,320000,680,Wisconsin,No,Yes,5
Lender 348,Home Equity,350000,630,South Carolina,No,Yes,35
Lender 234,Home Equity,310000,710,Iowa,No,No,32
Lender 299,Purchase,330000,790,Connecticut,Yes,Yes,44
Lender 75,Home Equity,310000,650,Alabama,No,Yes,29
Lender 380,Home Equity,270000,670,Virginia,Yes,No,30
Lender 353,Home Equity,370000,630,North Carolina,No,No,11
Lender 144,ReFi,330000,680,South Dakota,Yes,No,34
Lender 228,ReFi,330000,680,Indiana,Yes,Yes,45
Lender 110,Auto,350000,640,Florida,Yes,Yes,25
Lender 183,Auto,280000,630,South Dakota,Yes,No,23
Lender 293,Auto,300000,760,North Carolina,Yes,No,21
Lender 61,Auto,340000,670,New Jersey,No,Yes,31
Lender 15,Purchase,370000,650,Alaska,Yes,Yes,46
Lender 21,Home Equity,290000,750,Rhode Island,No,No,43
Lender 163,Auto,330000,670,California,Yes,No,42
Lender 398,ReFi,230000,620,South Carolina,Yes,Yes,28
Lender 68,Home Equity,270000,680,California,Yes,No,40
Lender 5,Purchase,360000,670,Utah,Yes,No,34
Lender 205,Purchase,280000,730,New Hampshire,No,No,2
Lender 363,ReFi,320000,700,New York,Yes,Yes,45
Lender 15,Auto,330000,730,Delaware,Yes,No,47
Lender 290,ReFi,330000,720,Arizona,Yes,Yes,23
Lender 316,Auto,310000,660,Alaska,Yes,No,0
Lender 370,Purchase,350000,680,Montana,No,No,3
Lender 202,Purchase,330000,670,Illinois,Yes,No,30
Lender 233,ReFi,340000,720,Indiana,No,Yes,16
Lender 311,Auto,370000,800,Arizona,No,No,30
Lender 59,Purchase,220000,720,Michigan,Yes,No,14
Lender 244,Purchase,290000,630,South Carolina,No,No,47
Lender 361,Auto,300000,660,Michigan,No,Yes,29
Lender 218,Purchase,310000,710,California,No,Yes,14
Lender 348,ReFi,300000,670,Utah,No,No,7
Lender 293,Home Equity,280000,680,Missouri,Yes,No,46
Lender 142,ReFi,220000,620,New Hampshire,Yes,Yes,10
Lender 110,Auto,350000,630,New York,No,Yes,48
Lender 174,Auto,320000,640,Alabama,Yes,No,10
Lender 14,Auto,320000,670,Florida,Yes,Yes,29
Lender 222,Auto,300000,620,Vermont,No,Yes,39
Lender 105,Auto,310000,610,Arkansas,Yes,No,35
Lender 333,Purchase,340000,600,Washington,Yes,No,37
Lender 131,Auto,240000,690,West Virginia,Yes,Yes,50
Lender 267,Purchase,280000,650,Oklahoma,Yes,No,37
Lender 318,Home Equity,300000,690,Wisconsin,No,Yes,44
Lender 153,Auto,350000,620,West Virginia,No,No,17
Lender 234,ReFi,270000,740,Maryland,No,Yes,16
Lender 278,Purchase,350000,610,Minnesota,No,Yes,12
Lender 276,Purchase,300000,670,New Mexico,Yes,No,45
Lender 258,Home Equity,240000,770,Nebraska,No,Yes,17
Lender 30,ReFi,260000,650,Tennessee,No,No,1
Lender 36,Home Equity,270000,780,New Jersey,Yes,No,25
Lender 82,Home Equity,260000,660,Maryland,Yes,Yes,3
Lender 122,Home Equity,350000,690,Delaware,Yes,Yes,4
Lender 114,Auto,300000,630,Alabama,Yes,Yes,6
Lender 272,Purchase,310000,590,Tennessee,Yes,Yes,43
Lender 152,ReFi,300000,750,Hawaii,No,Yes,20
Lender 221,ReFi,340000,710,South Dakota,No,Yes,19
Lender 233,Auto,300000,630,Michigan,Yes,No,40
Lender 291,Purchase,360000,680,Kentucky,No,Yes,16
Lender 368,Purchase,310000,590,Wyoming,No,Yes,2
Lender 329,Purchase,280000,670,Virginia,Yes,Yes,23
Lender 20,Purchase,310000,700,Nebraska,Yes,Yes,47
Lender 87,Purchase,320000,730,Tennessee,No,Yes,2
Lender 206,Home Equity,250000,620,Wyoming,No,Yes,20
Lender 62,Auto,310000,800,Utah,No,Yes,17
Lender 239,Auto,310000,760,Virginia,Yes,No,44
Lender 167,Home Equity,300000,690,New Jersey,No,Yes,37
Lender 17,ReFi,300000,740,Nebraska,No,No,36
Lender 9,Home Equity,230000,660,Tennessee,Yes,Yes,32
Lender 213,Purchase,250000,760,Kansas,Yes,No,24
Lender 19,Auto,300000,730,Massachusetts,Yes,Yes,9
Lender 396,ReFi,300000,710,New Mexico,No,Yes,11
Lender 14,ReFi,300000,770,Ohio,Yes,Yes,26
Lender 17,Purchase,290000,670,Mississippi,No,No,17
Lender 358,Auto,310000,680,Maryland,Yes,No,7
Lender 11,Purchase,330000,670,Ohio,No,Yes,10
Lender 33,Auto,270000,640,South Carolina,No,Yes,42
Lender 19,Auto,280000,680,Washington,Yes,No,41
Lender 340,Purchase,280000,730,Iowa,Yes,Yes,21
Lender 304,Purchase,280000,710,Kansas,Yes,Yes,50
Lender 86,Home Equity,340000,610,Washington,No,Yes,6
Lender 373,Home Equity,330000,690,Kentucky,Yes,Yes,25
Lender 15,ReFi,330000,710,Idaho,No,Yes,3
Lender 151,ReFi,310000,710,New Jersey,Yes,Yes,14
Lender 126,Purchase,290000,680,Wisconsin,No,No,39
Lender 54,Purchase,300000,760,Virginia,Yes,No,5
Lender 257,Home Equity,240000,730,Minnesota,Yes,Yes,40
Lender 348,ReFi,300000,630,Utah,Yes,No,22
Lender 46,Home Equity,210000,710,Louisiana,No,Yes,0
Lender 200,Auto,290000,620,Delaware,Yes,No,17
Lender 244,ReFi,250000,670,Connecticut,Yes,No,12
Lender 259,Purchase,280000,730,South Dakota,Yes,No,32
Lender 67,Auto,300000,740,New York,No,No,24
Lender 390,ReFi,340000,640,Montana,Yes,No,38
Lender 143,Purchase,350000,660,Wisconsin,No,Yes,45
Lender 241,Home Equity,360000,620,Ohio,Yes,Yes,35
Lender 95,Auto,260000,590,Indiana,Yes,No,6
Lender 201,ReFi,280000,700,Mississippi,No,No,38
Lender 131,ReFi,310000,660,Connecticut,Yes,No,17
Lender 11,Auto,270000,680,North Dakota,Yes,No,35
Lender 309,Purchase,310000,620,South Dakota,No,No,41
Lender 194,Auto,280000,720,Texas,No,Yes,47
Lender 307,Auto,360000,720,Alabama,Yes,No,17
Lender 216,Auto,350000,730,Vermont,Yes,No,31
Lender 66,Purchase,330000,660,Alaska,No,Yes,8
Lender 379,ReFi,290000,650,Alaska,No,No,10
Lender 137,Purchase,340000,680,Michigan,Yes,Yes,18
Lender 147,Purchase,290000,740,Arizona,Yes,Yes,21
Lender 264,Purchase,330000,670,Louisiana,Yes,No,37
Lender 95,ReFi,350000,660,Arizona,Yes,No,30
Lender 397,Purchase,340000,620,New Jersey,No,No,3
Lender 332,Purchase,290000,710,New Mexico,No,No,44
Lender 66,Home Equity,270000,720,Wisconsin,Yes,Yes,40
Lender 391,ReFi,320000,620,Montana,No,Yes,43
Lender 237,Purchase,350000,710,Kansas,No,No,12
Lender 199,Auto,260000,630,New Hampshire,No,No,22
Lender 319,Purchase,430000,620,Delaware,No,No,39
Lender 202,Auto,260000,650,Maine,No,No,17
Lender 173,Home Equity,310000,710,Illinois,Yes,No,12
Lender 369,Home Equity,360000,690,Oregon,Yes,No,28
Lender 106,Auto,320000,720,Indiana,No,Yes,30
Lender 128,Home Equity,280000,710,Florida,No,Yes,3
Lender 313,Auto,230000,690,Kansas,Yes,No,26
Lender 172,ReFi,350000,600,Vermont,No,Yes,39
Lender 395,Home Equity,270000,680,Texas,Yes,No,3
Lender 195,Home Equity,310000,670,South Carolina,No,No,36
Lender 55,Purchase,280000,690,Colorado,Yes,Yes,35
Lender 81,Purchase,290000,650,Florida,No,Yes,28
Lender 291,Auto,340000,680,Massachusetts,No,Yes,46
Lender 374,Purchase,320000,610,Arkansas,No,No,35
Lender 281,Auto,280000,650,Alabama,Yes,No,35
Lender 88,ReFi,340000,700,Alabama,Yes,No,49
Lender 139,Purchase,320000,680,Texas,No,Yes,46
Lender 32,Purchase,360000,650,Vermont,No,Yes,50
Lender 352,Auto,330000,660,Iowa,Yes,No,47
Lender 345,Home Equity,240000,620,Maryland,No,Yes,10
Lender 221,Purchase,300000,700,Florida,No,No,26
Lender 164,ReFi,300000,670,Washington,No,Yes,34
Lender 112,Home Equity,320000,670,Michigan,Yes,No,26
Lender 126,Auto,240000,670,North Carolina,No,No,12
Lender 193,ReFi,260000,640,Utah,Yes,Yes,22
Lender 26,ReFi,260000,670,Delaware,No,Yes,19
Lender 28,Purchase,350000,640,Nebraska,Yes,Yes,44
Lender 126,Home Equity,340000,590,Idaho,Yes,No,23
Lender 322,Auto,250000,750,South Carolina,No,No,1
Lender 387,Purchase,240000,720,Montana,No,No,24
Lender 345,Home Equity,310000,570,Louisiana,Yes,Yes,20
Lender 306,Auto,330000,690,New Mexico,Yes,Yes,8
Lender 198,Purchase,230000,690,New Hampshire,No,No,48
Lender 373,Purchase,310000,720,Alabama,Yes,No,16
Lender 196,Home Equity,270000,640,Maryland,No,Yes,26
Lender 128,Purchase,290000,740,Oklahoma,No,Yes,4
Lender 173,Auto,310000,700,New Mexico,Yes,No,22
Lender 144,Auto,310000,650,New Jersey,Yes,Yes,28
Lender 209,Auto,270000,680,Oklahoma,No,Yes,25
Lender 206,Purchase,320000,750,Arkansas,Yes,No,20
Lender 2,ReFi,340000,600,Vermont,No,No,25
Lender 8,ReFi,220000,600,New York,Yes,Yes,3
Lender 393,Purchase,310000,610,Virginia,Yes,Yes,45
Lender 95,Auto,330000,680,Missouri,Yes,Yes,19
Lender 149,Home Equity,370000,660,Alaska,Yes,Yes,40
Lender 136,ReFi,240000,600,Virginia,Yes,No,7
Lender 28,ReFi,320000,750,Maryland,Yes,No,19
Lender 45,Purchase,360000,600,Kansas,No,Yes,36
Lender 250,Auto,220000,670,Wyoming,Yes,Yes,23
Lender 137,Home Equity,340000,700,Tennessee,Yes,No,4
Lender 236,Auto,310000,670,Vermont,Yes,No,38
Lender 217,ReFi,260000,670,Alaska,No,Yes,24
Lender 140,Auto,320000,690,Connecticut,Yes,No,46
Lender 143,ReFi,250000,710,Georgia,No,No,0
Lender 255,Auto,300000,680,Texas,No,No,13
Lender 219,Auto,280000,740,South Carolina,No,Yes,28
Lender 367,Purchase,340000,670,South Carolina,Yes,No,45
Lender 176,Purchase,310000,590,West Virginia,No,No,33
Lender 101,ReFi,320000,640,Mississippi,No,No,45
Lender 68,Purchase,280000,720,Colorado,Yes,No,34
Lender 221,Home Equity,240000,700,Rhode Island,No,No,5
Lender 188,ReFi,340000,710,Maine,No,Yes,27
Lender 32,Purchase,300000,660,Mississippi,Yes,Yes,4
Lender 122,Auto,260000,640,Mississippi,Yes,No,42
Lender 307,ReFi,380000,700,Georgia,Yes,Yes,40
Lender 28,Purchase,330000,740,Montana,Yes,Yes,37
Lender 78,Purchase,280000,640,West Virginia,No,No,23
Lender 200,Auto,260000,650,Oregon,Yes,Yes,27
Lender 400,Auto,290000,730,Louisiana,No,Yes,18
Lender 144,Home Equity,310000,700,Utah,Yes,No,42
Lender 76,Home Equity,330000,610,Washington,No,Yes,46
Lender 399,Home Equity,320000,640,Idaho,Yes,No,40
Lender 189,ReFi,350000,680,Kansas,Yes,Yes,28
Lender 61,ReFi,330000,700,Iowa,Yes,Yes,3
Lender 222,Auto,290000,690,Oregon,Yes,No,21
Lender 184,Purchase,280000,690,Georgia,Yes,Yes,14
Lender 124,Home Equity,360000,580,Delaware,No,Yes,38
Lender 349,Home Equity,300000,590,Connecticut,No,Yes,4
Lender 141,ReFi,240000,630,Maryland,No,No,31
Lender 287,Purchase,290000,660,Texas,Yes,Yes,19
Lender 170,Purchase,320000,640,New Jersey,Yes,No,0
Lender 92,ReFi,310000,730,Texas,Yes,Yes,13
Lender 180,Auto,320000,620,Arkansas,No,Yes,16
Lender 276,ReFi,250000,630,South Dakota,Yes,Yes,0
Lender 240,Purchase,270000,540,Rhode Island,No,Yes,1
Lender 193,Home Equity,310000,660,Louisiana,Yes,No,15
Lender 125,ReFi,240000,650,Maine,Yes,No,19
Lender 69,Home Equity,270000,720,West Virginia,No,No,9
Lender 336,Home Equity,240000,670,Illinois,Yes,Yes,33
Lender 256,Purchase,300000,670,Wisconsin,Yes,Yes,0
Lender 125,Purchase,360000,740,Maine,No,Yes,31
Lender 56,Purchase,290000,670,Oregon,Yes,Yes,31
Lender 229,Purchase,240000,650,Michigan,No,Yes,49
Lender 112,ReFi,310000,750,Virginia,Yes,No,42
Lender 29,Purchase,230000,610,Maine,No,Yes,32
Lender 58,Purchase,260000,750,Indiana,No,Yes,47
Lender 22,ReFi,300000,550,Wyoming,No,Yes,45
Lender 175,ReFi,330000,660,Maine,No,No,19
Lender 334,Purchase,320000,670,California,Yes,No,14
Lender 316,Auto,280000,740,Rhode Island,No,Yes,45
Lender 41,Home Equity,320000,650,Alabama,Yes,Yes,24
Lender 118,Purchase,260000,760,West Virginia,No,Yes,18
Lender 56,ReFi,300000,710,Alaska,No,No,47
Lender 382,ReFi,260000,560,Mississippi,No,No,36
Lender 32,Auto,290000,700,Florida,Yes,Yes,13
Lender 387,Purchase,250000,700,Arkansas,No,No,48
Lender 251,Auto,280000,630,Delaware,Yes,Yes,43
Lender 341,Auto,340000,710,Kansas,No,No,2
Lender 179,Auto,300000,700,Idaho,No,Yes,19
Lender 195,Auto,320000,690,Alabama,No,No,2
Lender 316,Home Equity,320000,720,New Jersey,No,Yes,28
Lender 308,Purchase,250000,770,Tennessee,No,No,26
Lender 136,ReFi,330000,560,South Carolina,No,No,31
Lender 337,Home Equity,220000,660,Oklahoma,No,Yes,24
Lender 145,Purchase,310000,730,West Virginia,No,Yes,30
Lender 228,Auto,320000,650,Washington,No,Yes,48
Lender 235,Purchase,290000,680,Wyoming,No,No,34
Lender 266,Purchase,250000,580,Florida,Yes,Yes,26
Lender 355,ReFi,300000,570,Oklahoma,Yes,No,12
Lender 313,Purchase,310000,680,Iowa,No,Yes,1
Lender 39,Purchase,270000,720,North Carolina,Yes,Yes,20
Lender 95,Purchase,300000,700,Oregon,No,Yes,38
Lender 209,Purchase,290000,600,Michigan,No,Yes,39
Lender 74,ReFi,400000,720,Texas,No,Yes,36
Lender 23,Purchase,310000,640,Mississippi,Yes,No,42
Lender 85,Auto,270000,770,Virginia,Yes,Yes,27
Lender 296,Auto,370000,610,Rhode Island,No,No,18
Lender 300,Purchase,300000,670,Virginia,Yes,Yes,24
Lender 305,Purchase,230000,750,West Virginia,No,Yes,9
Lender 371,Home Equity,300000,720,Vermont,No,No,21
Lender 60,Purchase,250000,690,Alabama,Yes,Yes,34
Lender 380,Auto,340000,720,Rhode Island,Yes,No,14
Lender 271,Home Equity,330000,680,Nevada,Yes,No,3
Lender 188,ReFi,250000,760,New York,Yes,No,0
Lender 298,Purchase,320000,610,North Dakota,No,Yes,13
Lender 351,Home Equity,270000,770,Tennessee,No,No,13
Lender 201,Auto,310000,580,Missouri,Yes,Yes,14
Lender 369,ReFi,320000,700,Washington,No,Yes,24
Lender 223,Home Equity,260000,720,Idaho,No,Yes,37
Lender 45,ReFi,300000,770,Michigan,No,Yes,20
Lender 145,ReFi,300000,660,Missouri,Yes,Yes,6
Lender 87,ReFi,250000,620,Georgia,Yes,Yes,25
Lender 41,ReFi,310000,670,Washington,No,Yes,46
Lender 173,Purchase,300000,690,Missouri,No,No,27
Lender 334,Auto,300000,530,Nebraska,Yes,No,33
Lender 314,ReFi,320000,700,Nevada,No,No,29
Lender 225,ReFi,330000,620,Colorado,Yes,No,22
Lender 245,Home Equity,340000,760,Arizona,No,Yes,34
Lender 366,Purchase,280000,670,Massachusetts,No,No,6
Lender 368,Auto,320000,670,Arizona,No,No,29
Lender 86,Home Equity,250000,650,Connecticut,No,Yes,2
Lender 5,Auto,280000,760,Minnesota,Yes,Yes,11
Lender 265,Home Equity,310000,660,Kentucky,Yes,Yes,49
Lender 157,Purchase,320000,660,Mississippi,Yes,Yes,23
Lender 93,Purchase,330000,770,Missouri,Yes,No,16
Lender 366,Home Equity,300000,650,Indiana,No,Yes,8
Lender 8,Home Equity,310000,560,Pennsylvania,No,No,25
Lender 125,Purchase,260000,600,Michigan,No,No,42
Lender 340,Auto,330000,610,Oregon,Yes,Yes,44
Lender 375,Home Equity,310000,640,Michigan,No,No,20
Lender 368,Purchase,380000,600,Oregon,Yes,No,30
Lender 240,Auto,340000,620,Kansas,Yes,No,50
Lender 31,Auto,360000,770,Connecticut,No,No,17
Lender 88,ReFi,300000,660,Kansas,Yes,Yes,20
Lender 162,Purchase,340000,640,Indiana,No,No,45
Lender 400,ReFi,330000,660,Nebraska,Yes,Yes,26
Lender 14,ReFi,290000,750,Louisiana,Yes,No,8
Lender 225,ReFi,320000,640,Oregon,No,No,38
Lender 240,ReFi,290000,650,Missouri,Yes,Yes,41
Lender 109,Auto,310000,690,Nebraska,No,Yes,49
Lender 279,Purchase,250000,620,Indiana,Yes,No,34
Lender 309,Purchase,320000,760,California,Yes,Yes,13
Lender 151,Home Equity,260000,670,Rhode Island,No,No,0
Lender 103,Purchase,300000,690,Arkansas,No,Yes,10
Lender 305,Purchase,320000,710,Oklahoma,No,No,43
Lender 281,ReFi,300000,640,Alabama,No,Yes,0
Lender 322,Auto,350000,740,Virginia,No,Yes,12
Lender 162,Purchase,360000,650,Kansas,No,No,17
Lender 8,Auto,270000,690,Wyoming,Yes,No,43
Lender 38,Auto,240000,620,Nevada,Yes,Yes,26
Lender 340,Home Equity,300000,690,Iowa,Yes,No,3
Lender 308,Purchase,330000,670,Nebraska,No,No,46
Lender 141,Auto,320000,690,Pennsylvania,Yes,Yes,40
Lender 306,Purchase,280000,570,Alabama,Yes,No,26
Lender 58,ReFi,330000,730,Washington,No,Yes,48
Lender 262,Auto,360000,680,Louisiana,No,Yes,38
Lender 15,Purchase,330000,670,North Dakota,Yes,Yes,21
Lender 198,ReFi,290000,690,Nebraska,No,Yes,44
Lender 262,Auto,290000,750,North Dakota,No,Yes,17
Lender 334,Home Equity,290000,680,South Dakota,Yes,No,46
Lender 60,ReFi,370000,610,Montana,No,No,9
Lender 396,Auto,270000,680,Oregon,No,No,1
Lender 142,Home Equity,260000,630,Virginia,Yes,No,46
Lender 214,Purchase,280000,550,New Mexico,Yes,Yes,11
Lender 199,Home Equity,300000,650,Maryland,Yes,No,27
Lender 156,Home Equity,280000,690,South Carolina,No,No,40
Lender 350,Auto,360000,710,Minnesota,Yes,Yes,20
Lender 43,Home Equity,250000,690,Kansas,Yes,Yes,4
Lender 88,Purchase,280000,630,Iowa,Yes,Yes,19
Lender 281,Purchase,330000,690,Oklahoma,No,Yes,29
Lender 142,Auto,350000,680,Nebraska,Yes,No,50
Lender 346,Auto,310000,620,Hawaii,No,No,37
Lender 76,Home Equity,280000,790,Arizona,Yes,Yes,6
Lender 296,Auto,300000,750,Utah,Yes,No,6
Lender 274,Home Equity,250000,700,Washington,No,Yes,28
Lender 270,ReFi,240000,660,New Hampshire,No,Yes,21
Lender 371,Purchase,310000,760,Vermont,No,Yes,25
Lender 399,Home Equity,360000,710,Florida,No,Yes,32
Lender 201,ReFi,320000,670,Tennessee,Yes,Yes,46
Lender 82,Purchase,310000,670,North Carolina,No,Yes,29
Lender 184,Home Equity,300000,720,New York,No,No,6
Lender 317,Purchase,300000,580,Ohio,Yes,No,7
Lender 305,Purchase,300000,720,North Carolina,No,Yes,46
Lender 376,Home Equity,270000,730,Nebraska,No,No,2
Lender 268,Home Equity,310000,740,Massachusetts,Yes,Yes,16
Lender 18,Home Equity,230000,610,North Dakota,No,Yes,11
Lender 87,Purchase,310000,730,Maine,Yes,Yes,34
Lender 171,ReFi,270000,690,South Carolina,Yes,No,34
Lender 48,ReFi,320000,580,Wisconsin,No,Yes,10
Lender 279,Home Equity,300000,660,Iowa,No,No,49
Lender 350,ReFi,360000,670,Iowa,Yes,Yes,26
Lender 270,Auto,260000,700,Michigan,No,Yes,41
Lender 103,ReFi,320000,540,Montana,Yes,No,18
Lender 109,Home Equity,380000,630,Utah,No,Yes,16
Lender 85,Purchase,370000,720,Minnesota,Yes,Yes,14
Lender 33,ReFi,270000,660,Maryland,Yes,Yes,28
Lender 44,Auto,280000,690,Illinois,No,No,36
Lender 116,Auto,310000,720,New Jersey,Yes,Yes,41
Lender 81,Purchase,330000,650,Vermont,No,Yes,26
Lender 357,Home Equity,330000,550,Ohio,No,Yes,41
Lender 251,Purchase,280000,730,Nevada,No,Yes,21
Lender 233,ReFi,260000,640,South Dakota,Yes,Yes,4
Lender 348,ReFi,320000,690,Connecticut,No,No,46
Lender 165,Home Equity,290000,600,Connecticut,No,No,31
Lender 352,ReFi,360000,530,Hawaii,Yes,No,27
Lender 277,Home Equity,370000,650,Kansas,Yes,Yes,26
Lender 296,ReFi,320000,670,Minnesota,Yes,Yes,50
Lender 389,Auto,330000,650,Tennessee,No,Yes,47
Lender 76,ReFi,330000,680,Rhode Island,No,No,26
Lender 241,Purchase,280000,700,New Jersey,Yes,No,20
Lender 286,Home Equity,280000,680,Michigan,No,Yes,40
Lender 289,ReFi,350000,870,Kansas,No,No,3
Lender 9,Auto,270000,610,Nebraska,No,No,31
Lender 208,Purchase,310000,660,Washington,Yes,No,30
Lender 25,Home Equity,270000,690,Virginia,Yes,No,0
Lender 199,Purchase,240000,610,South Dakota,Yes,No,47
Lender 79,Auto,300000,700,Maine,Yes,No,41
Lender 323,Home Equity,310000,710,Alaska,Yes,No,49
Lender 102,Home Equity,310000,650,Tennessee,No,No,24
Lender 127,Auto,270000,700,Wisconsin,No,Yes,8
Lender 26,Auto,280000,680,Tennessee,Yes,Yes,12
Lender 381,Home Equity,330000,640,Maine,No,No,4
Lender 285,ReFi,270000,660,North Carolina,No,Yes,45
Lender 172,Purchase,200000,550,Nebraska,No,No,37
Lender 165,Auto,290000,690,Utah,Yes,Yes,23
Lender 91,Auto,260000,690,Nevada,No,No,23
Lender 49,Purchase,350000,690,Nevada,No,Yes,47
Lender 108,Home Equity,250000,660,Massachusetts,No,Yes,48
Lender 156,ReFi,320000,650,Alaska,No,No,25
Lender 287,Auto,290000,570,West Virginia,No,Yes,42
Lender 50,ReFi,290000,710,Montana,Yes,No,45
Lender 141,Auto,280000,650,Colorado,No,Yes,39
Lender 357,Auto,340000,590,West Virginia,No,Yes,47
Lender 117,ReFi,270000,720,Michigan,Yes,Yes,5
Lender 314,Home Equity,350000,650,New Hampshire,No,No,39
Lender 247,Auto,290000,650,Texas,Yes,No,37
Lender 262,Purchase,310000,670,Iowa,No,No,45
Lender 284,Purchase,320000,590,Kansas,Yes,Yes,18
Lender 87,Home Equity,260000,620,Alabama,No,Yes,2
Lender 53,ReFi,300000,680,Tennessee,No,Yes,27
Lender 203,Auto,300000,670,Oklahoma,Yes,No,39
Lender 183,ReFi,280000,620,Alabama,No,No,23
Lender 192,Home Equity,280000,730,New Jersey,Yes,Yes,18
Lender 147,ReFi,310000,670,Massachusetts,Yes,No,4
Lender 279,Home Equity,360000,630,Alabama,Yes,Yes,45
Lender 140,Auto,290000,640,Illinois,No,Yes,50
Lender 356,Auto,320000,720,Georgia,No,No,25
Lender 260,Auto,320000,720,New Mexico,Yes,No,11
Lender 9,ReFi,270000,710,Kentucky,No,No,42
Lender 208,Auto,300000,700,Virginia,No,Yes,46
Lender 300,Purchase,270000,680,New Hampshire,Yes,Yes,37
Lender 270,Purchase,280000,720,Georgia,No,No,39
Lender 47,Purchase,340000,710,New Mexico,No,No,45
Lender 109,ReFi,310000,670,Ohio,No,No,0
Lender 341,ReFi,330000,720,New Jersey,Yes,Yes,50
Lender 177,Purchase,360000,670,Pennsylvania,No,Yes,25
Lender 151,ReFi,290000,760,Virginia,No,No,2
Lender 393,Purchase,250000,720,Wisconsin,No,Yes,47
Lender 379,Auto,200000,660,South Dakota,Yes,Yes,10
Lender 159,Purchase,240000,660,Hawaii,No,No,37
Lender 73,ReFi,290000,670,Colorado,No,No,45
Lender 98,Home Equity,320000,740,Wisconsin,No,Yes,47
Lender 166,ReFi,370000,700,South Carolina,Yes,Yes,23
Lender 110,Home Equity,300000,690,Oklahoma,Yes,No,6
Lender 39,Purchase,310000,530,Missouri,Yes,No,17
Lender 364,Purchase,250000,660,New York,No,Yes,19
Lender 245,Purchase,310000,650,Hawaii,No,Yes,20
Lender 39,Auto,340000,770,Kentucky,No,Yes,26
Lender 54,Home Equity,310000,680,Minnesota,No,No,24
Lender 276,Purchase,310000,640,Oklahoma,Yes,Yes,20
Lender 224,Home Equity,300000,580,New Mexico,Yes,Yes,50
Lender 229,ReFi,280000,590,Idaho,Yes,No,15
Lender 132,ReFi,320000,640,Oklahoma,Yes,No,21
Lender 65,ReFi,320000,770,Louisiana,No,Yes,7
Lender 114,Home Equity,340000,710,Arizona,No,Yes,21
Lender 354,Home Equity,280000,760,Maryland,No,Yes,11
Lender 182,ReFi,300000,690,Texas,Yes,Yes,23
